date,revenue,transactions,avg_price,first_sale_hour,last_sale_hour,avg_sale_hour,year,month,day,dayofweek,quarter,week_of_year,is_weekend,is_month_start,is_month_end,month_sin,month_cos,dayofweek_sin,dayofweek_cos,transactions_lag_1,transactions_lag_7,transactions_lag_14,transactions_roll_3,transactions_roll_7,transactions_roll_30,transactions_vol_7,total_daily_transactions,total_daily_revenue,market_share_transactions,product_Americano,product_Americano with Milk,product_Cappuccino,product_Cocoa,product_Cortado,product_Espresso,product_Hot Chocolate,product_Latte,product,wx_temperature_2m,wx_precipitation,wx_cloudcover,is_holiday,dow,weekofyear,is_holiday_prev,is_holiday_next,dow_sin,dow_cos,totals_day_t1,share_day_t1,totals_day_roll_7,competitor_sum_t1
2024-10-05,51.92,2.0,25.96,12.0,12.0,12.0,2024,10,5,5,4,40,1,0,0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,2.0,0.0,2.0,1.3333333333333333,1.4285714285714286,1.4333333333333333,1.3972762620115426,6.0,175.36,0.3333333333333333,False,False,False,False,True,False,False,False,Cortado,16.333333333333332,0.7,100.0,False,5,40,0,0,-0.9749279121818236,-0.2225209339563146,13.0,0.15384615384615385,11.285714285714286,11.0
2024-08-05,164.1,5.0,32.82,19.0,22.0,20.4,2024,8,5,0,3,32,0,0,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.8666666666666667,1.6329931618554512,12.0,364.44,0.4166666666666667,False,False,False,False,False,False,False,True,Latte,21.66923076923077,0.2,36.84615384615385,False,0,32,0,0,0.0,1.0,8.0,0.25,13.285714285714286,6.0
2024-10-24,0.0,0.0,0.0,0.0,0.0,0.0,2024,10,24,3,4,43,0,0,0,-1.0,-1.8369701987210297e-16,0.4338837391175582,-0.900968867902419,1.0,0.0,0.0,1.0,0.42857142857142855,0.3333333333333333,0.5345224838248487,14.0,456.54,0.0,False,False,False,False,False,True,False,False,Espresso,8.673333333333334,0.0,87.6,False,3,43,0,0,0.43388373911755823,-0.900968867902419,10.0,0.1,14.285714285714286,9.0
2024-09-20,32.82,1.0,32.82,19.0,19.0,19.0,2024,9,20,4,3,38,0,0,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,1.0,4.0,3.0,2.6666666666666665,2.4285714285714284,2.3666666666666667,2.2253945610567483,5.0,139.6,0.2,False,False,False,False,False,False,False,True,Latte,18.12857142857143,0.0,14.428571428571429,False,4,38,0,0,-0.433883739117558,-0.9009688679024191,8.0,0.125,8.714285714285714,7.0
2024-07-03,23.02,1.0,23.02,19.0,19.0,19.0,2024,7,3,2,3,27,0,0,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.2225209339563143,0.0,1.0,0.0,0.6666666666666666,0.5714285714285714,0.36666666666666664,0.534522483824849,10.0,342.9,0.1,False,False,False,False,False,True,False,False,Espresso,22.677777777777777,0.5,97.22222222222223,False,2,27,0,0,0.9749279121818236,-0.22252093395631434,5.0,0.0,5.0,5.0
2024-04-19,67.6,2.0,33.8,16.0,21.0,18.5,2024,4,19,4,2,16,0,0,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,0.0,1.0,1.3333333333333333,1.0,0.9333333333333333,1.1547005383792515,7.0,261.1,0.2857142857142857,False,True,False,False,False,False,False,False,Americano with Milk,8.071428571428571,0.5,64.57142857142857,False,4,16,0,0,-0.433883739117558,-0.9009688679024191,10.0,0.1,7.428571428571429,9.0
2025-02-19,107.28,3.0,35.76,14.0,22.0,19.0,2025,2,19,2,1,8,0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.2225209339563143,5.0,2.0,3.0,1.6666666666666667,1.2857142857142858,1.4,1.7994708216848736,20.0,646.5999999999999,0.15,False,False,False,True,False,False,False,False,Cocoa,-4.42,0.5,53.15,False,2,8,0,0,0.9749279121818236,-0.22252093395631434,18.0,0.2777777777777778,14.714285714285714,13.0
2024-12-14,71.52,2.0,35.76,11.0,18.0,14.5,2024,12,14,5,4,50,1,0,0,-0.5000000000000004,0.8660254037844384,-0.9749279121818236,-0.2225209339563146,1.0,0.0,2.0,1.3333333333333333,0.7142857142857143,0.8666666666666667,0.7559289460184535,11.0,334.56,0.1818181818181818,False,False,False,True,False,False,False,False,Cocoa,-6.209090909090909,0.0,51.81818181818182,False,5,50,0,0,-0.9749279121818236,-0.2225209339563146,8.0,0.125,6.857142857142857,7.0
2024-12-29,35.76,1.0,35.76,22.0,22.0,22.0,2024,12,29,6,4,52,1,0,0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,1.0,3.0,1.0,0.3333333333333333,0.8571428571428571,0.8,1.2149857925879106,9.0,253.24,0.1111111111111111,False,False,False,False,False,False,True,False,Hot Chocolate,0.1375,0.0,100.0,False,6,52,0,0,-0.7818314824680299,0.6234898018587334,8.0,0.125,7.714285714285714,7.0
2025-03-05,71.52,2.0,35.76,13.0,21.0,17.0,2025,3,5,2,1,10,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,2.0,1.0,3.0,1.6666666666666667,1.5714285714285714,2.033333333333333,1.2724180205607023,19.0,591.24,0.1052631578947368,False,False,False,True,False,False,False,False,Cocoa,9.289473684210526,0.0,100.0,False,2,10,0,0,0.9749279121818236,-0.22252093395631434,16.0,0.125,15.142857142857142,14.0
