h,MAE,RMSE,MAPE,sMAPE,COV_p10_p90_%
1,1.23984878911838,1.8511042995272455,48.13012174676752,97.26900993992463,68.75
2,0.905615002641688,1.275252863230885,44.47551056536985,95.1572776577036,87.5
3,0.9333389403139338,1.2349456437953452,43.50994772727322,72.31335601361604,84.375
4,1.0523159135011437,1.4199489518486745,54.12648958266797,86.94445446843811,81.25
5,1.2365005653053005,1.8128858169085136,47.64452667004711,95.92675227502072,75.0
6,0.9002088904474936,1.2256321245807327,66.32727622165308,126.53803084058232,90.625
7,0.8781564268170798,1.172458787975464,76.24882446984526,116.86774915704419,84.375
