date,product,transactions,yhat,h,model
2025-03-06,Espresso,1.0,0.5529149184881869,4,sarimax
2025-03-06,Hot Chocolate,1.0,0.9046770490752927,4,sarimax
2025-03-06,Latte,1.0,2.1248704201365376,4,sarimax
2025-03-07,Americano,4.0,5.008361528435151,5,sarimax
2025-03-07,Americano with Milk,3.0,2.3203205040120363,5,sarimax
2025-03-07,Cappuccino,2.0,1.5433972015463784,5,sarimax
2025-03-07,Cocoa,2.0,2.2128990010438083,5,sarimax
2025-03-07,Cortado,0.0,0.13429009229126287,5,sarimax
2025-03-07,Espresso,0.0,0.4711878433461685,5,sarimax
2025-03-07,Hot Chocolate,3.0,0.9167690666652613,5,sarimax
2025-03-07,Latte,3.0,1.901806458181949,5,sarimax
2025-03-08,Americano,4.0,4.372692561789056,6,sarimax
2025-03-08,Americano with Milk,3.0,2.578854068955968,6,sarimax
2025-03-08,Cappuccino,1.0,1.661275843759428,6,sarimax
2025-03-08,Cocoa,0.0,1.2174583661677003,6,sarimax
2025-03-08,Cortado,0.0,0.4100491324444133,6,sarimax
2025-03-08,Espresso,0.0,0.3734033433516135,6,sarimax
2025-03-08,Hot Chocolate,0.0,0.7002622426732058,6,sarimax
2025-03-08,Latte,0.0,1.8411365719084332,6,sarimax
2025-03-09,Americano,2.0,3.8205068451287643,7,sarimax
2025-03-09,Americano with Milk,2.0,2.3713281654256275,7,sarimax
2025-03-09,Cappuccino,2.0,1.5907908842115375,7,sarimax
2025-03-09,Cocoa,1.0,1.4880253471569258,7,sarimax
2025-03-09,Cortado,0.0,0.18161721637106934,7,sarimax
2025-03-09,Espresso,1.0,0.4028213556694362,7,sarimax
2025-03-09,Hot Chocolate,0.0,0.7180830607664676,7,sarimax
2025-03-09,Latte,0.0,1.4581000228451184,7,sarimax
2025-03-10,Americano,4.0,4.535876605351744,1,sarimax
2025-03-10,Americano with Milk,3.0,3.381117028761616,1,sarimax
2025-03-10,Cappuccino,1.0,2.072577949819988,1,sarimax
2025-03-10,Cocoa,1.0,1.7152606016128322,1,sarimax
2025-03-10,Cortado,0.0,0.039136463810864476,1,sarimax
2025-03-10,Espresso,0.0,0.39092614603203396,1,sarimax
2025-03-10,Hot Chocolate,3.0,0.8261140606299238,1,sarimax
2025-03-10,Latte,5.0,2.91342480872179,1,sarimax
2025-03-11,Americano,4.0,5.066834108501057,2,sarimax
2025-03-11,Americano with Milk,1.0,3.282198810688472,2,sarimax
2025-03-11,Cappuccino,2.0,1.795440348242253,2,sarimax
2025-03-11,Cocoa,2.0,2.1302876915179754,2,sarimax
2025-03-11,Cortado,0.0,0.10554798030743061,2,sarimax
2025-03-11,Espresso,0.0,0.44022862005194097,2,sarimax
2025-03-11,Hot Chocolate,2.0,1.1442552149460683,2,sarimax
2025-03-11,Latte,2.0,2.0094111931483516,2,sarimax
2025-03-12,Americano,6.0,4.728487041944406,3,sarimax
2025-03-12,Americano with Milk,1.0,2.738315791819852,3,sarimax
2025-03-12,Cappuccino,3.0,1.844393817274487,3,sarimax
2025-03-12,Cocoa,2.0,1.5932043842826613,3,sarimax
2025-03-12,Cortado,0.0,-0.09605564514481081,3,sarimax
2025-03-12,Espresso,0.0,0.5388452594371619,3,sarimax
2025-03-12,Hot Chocolate,1.0,0.9653538234775152,3,sarimax
2025-03-12,Latte,4.0,2.0251709453016247,3,sarimax
2025-03-13,Americano,3.0,4.227571854963533,4,sarimax
2025-03-13,Americano with Milk,4.0,2.332442007706732,4,sarimax
2025-03-13,Cappuccino,2.0,1.9406078984003714,4,sarimax
2025-03-13,Cocoa,0.0,1.6193565394783087,4,sarimax
2025-03-13,Cortado,0.0,0.016428739495398106,4,sarimax
2025-03-13,Espresso,1.0,0.5506614917113203,4,sarimax
2025-03-13,Hot Chocolate,0.0,1.1209399901151182,4,sarimax
2025-03-13,Latte,2.0,1.7423115670518006,4,sarimax
2025-03-14,Americano,10.0,4.577344096271385,5,sarimax
2025-03-14,Americano with Milk,1.0,2.4478750305098473,5,sarimax
2025-03-14,Cappuccino,1.0,1.7449140077213319,5,sarimax
2025-03-14,Cocoa,3.0,2.068297950751943,5,sarimax
2025-03-14,Cortado,0.0,0.03895713679332231,5,sarimax
2025-03-14,Espresso,1.0,0.49714006473946015,5,sarimax
2025-03-14,Hot Chocolate,0.0,1.0806214286862528,5,sarimax
2025-03-14,Latte,7.0,1.8337124172988255,5,sarimax
2025-03-15,Americano,1.0,4.311142254456348,6,sarimax
2025-03-15,Americano with Milk,3.0,2.458658402128887,6,sarimax
2025-03-15,Cappuccino,3.0,1.8027486874560612,6,sarimax
2025-03-15,Cocoa,0.0,0.9259078560390144,6,sarimax
2025-03-15,Cortado,0.0,0.30309479852109034,6,sarimax
2025-03-15,Espresso,0.0,0.373482256882349,6,sarimax
2025-03-15,Hot Chocolate,0.0,0.9509008545813256,6,sarimax
2025-03-15,Latte,0.0,1.5329545541897245,6,sarimax
2025-03-16,Americano,1.0,3.6501865094418458,7,sarimax
2025-03-16,Americano with Milk,1.0,2.367955327034235,7,sarimax
2025-03-16,Cappuccino,1.0,1.817839744624556,7,sarimax
2025-03-16,Cocoa,0.0,1.2791149475491124,7,sarimax
2025-03-16,Cortado,0.0,0.0892654566754369,7,sarimax
2025-03-16,Espresso,0.0,0.3843849653093021,7,sarimax
2025-03-16,Hot Chocolate,1.0,0.9685908439462665,7,sarimax
2025-03-16,Latte,1.0,1.1786578103310306,7,sarimax
2025-03-17,Americano,6.0,4.442317510835822,1,sarimax
2025-03-17,Americano with Milk,1.0,2.9150472375180563,1,sarimax
2025-03-17,Cappuccino,1.0,2.0811685096181662,1,sarimax
2025-03-17,Cocoa,2.0,1.4087818426342984,1,sarimax
2025-03-17,Cortado,0.0,-0.012200432369669504,1,sarimax
2025-03-17,Espresso,0.0,0.30573349437324093,1,sarimax
2025-03-17,Hot Chocolate,0.0,0.839409964031308,1,sarimax
2025-03-17,Latte,3.0,3.714480512128867,1,sarimax
2025-03-18,Americano,3.0,4.520356004320693,2,sarimax
2025-03-18,Americano with Milk,3.0,2.913992251690189,2,sarimax
2025-03-18,Cappuccino,0.0,1.8365406658084134,2,sarimax
2025-03-18,Cocoa,4.0,1.8821846560972433,2,sarimax
2025-03-18,Cortado,0.0,0.05798915693997304,2,sarimax
2025-03-18,Espresso,1.0,0.4020561238563443,2,sarimax
2025-03-18,Hot Chocolate,2.0,0.9769234830135172,2,sarimax
2025-03-18,Latte,4.0,2.4213284773919628,2,sarimax
2025-03-19,Americano,8.0,4.9284555872554225,3,sarimax
2025-03-19,Americano with Milk,2.0,2.490092871603171,3,sarimax
2025-03-19,Cappuccino,3.0,1.8863330817587298,3,sarimax
2025-03-19,Cocoa,1.0,1.401149581206319,3,sarimax
2025-03-19,Cortado,1.0,-0.13176504860648247,3,sarimax
2025-03-19,Espresso,2.0,0.5289428127026352,3,sarimax
2025-03-19,Hot Chocolate,1.0,0.8532306037458541,3,sarimax
2025-03-19,Latte,3.0,2.815751293540465,3,sarimax
2025-03-20,Americano,8.0,4.048467348924352,4,sarimax
2025-03-20,Americano with Milk,3.0,2.001041600049054,4,sarimax
2025-03-20,Cappuccino,4.0,1.9665605816653369,4,sarimax
2025-03-20,Cocoa,1.0,1.263771942521931,4,sarimax
2025-03-20,Cortado,1.0,-0.029449130973463543,4,sarimax
2025-03-20,Espresso,1.0,0.545839726840654,4,sarimax
2025-03-20,Hot Chocolate,1.0,1.0056707913381084,4,sarimax
2025-03-20,Latte,1.0,2.299463375577303,4,sarimax
2025-03-21,Americano,7.0,5.714698201423738,5,sarimax
2025-03-21,Americano with Milk,2.0,2.2159291550704694,5,sarimax
2025-03-21,Cappuccino,4.0,1.7444064414113871,5,sarimax
2025-03-21,Cocoa,0.0,1.9032979842065545,5,sarimax
2025-03-21,Cortado,0.0,-0.008980906810827223,5,sarimax
2025-03-21,Espresso,0.0,0.4383143823883474,5,sarimax
2025-03-21,Hot Chocolate,1.0,1.0578583582098602,5,sarimax
2025-03-21,Latte,6.0,2.988262162490731,5,sarimax
2025-03-22,Americano,2.0,3.7347029620094325,6,sarimax
2025-03-22,Americano with Milk,6.0,2.1547744913210316,6,sarimax
2025-03-22,Cappuccino,0.0,1.8746857536672856,6,sarimax
2025-03-22,Cocoa,1.0,0.5721845468907363,6,sarimax
2025-03-22,Cortado,0.0,0.2449584192443603,6,sarimax
2025-03-22,Espresso,1.0,0.3204994085539905,6,sarimax
2025-03-22,Hot Chocolate,1.0,0.798247048807018,6,sarimax
2025-03-22,Latte,1.0,1.843510815778025,6,sarimax
2025-03-23,Americano,1.0,3.0184809898941656,7,sarimax
2025-03-23,Americano with Milk,0.0,2.050344838923676,7,sarimax
2025-03-23,Cappuccino,1.0,1.8162721901780992,7,sarimax
2025-03-23,Cocoa,2.0,0.9221134213838338,7,sarimax
2025-03-23,Cortado,0.0,0.04412329939140128,7,sarimax
2025-03-23,Espresso,0.0,0.38202719822926634,7,sarimax
2025-03-23,Hot Chocolate,0.0,0.8102966065537351,7,sarimax
2025-03-23,Latte,2.0,1.6873723044602404,7,sarimax
