date,product,transactions,h,yhat,model
2025-03-07,Americano with Milk,3.0,5,3.1657511010304638,lgbm_direct
2025-03-07,Cappuccino,2.0,5,1.2772768904961596,lgbm_direct
2025-03-07,Cocoa,2.0,5,1.7346541912719315,lgbm_direct
2025-03-07,Cortado,0.0,5,0.37836870675673634,lgbm_direct
2025-03-07,Espresso,0.0,5,0.2707782506582776,lgbm_direct
2025-03-07,Hot Chocolate,3.0,5,1.9041280058999117,lgbm_direct
2025-03-07,Latte,3.0,5,1.903060413415701,lgbm_direct
2025-03-08,Americano,4.0,6,4.752071339939832,lgbm_direct
2025-03-08,Americano with Milk,3.0,6,1.9383479142488547,lgbm_direct
2025-03-08,Cappuccino,1.0,6,1.5622497408053633,lgbm_direct
2025-03-08,Cocoa,0.0,6,1.572740894653316,lgbm_direct
2025-03-08,Cortado,0.0,6,0.33864852209698,lgbm_direct
2025-03-08,Espresso,0.0,6,0.30209271720018316,lgbm_direct
2025-03-08,Hot Chocolate,0.0,6,2.161626381726988,lgbm_direct
2025-03-08,Latte,0.0,6,1.386804016359115,lgbm_direct
2025-03-09,Americano,2.0,7,2.091966802417017,lgbm_direct
2025-03-09,Americano with Milk,2.0,7,1.7534662312408642,lgbm_direct
2025-03-09,Cappuccino,2.0,7,0.9841155185139885,lgbm_direct
2025-03-09,Cocoa,1.0,7,1.474558095791174,lgbm_direct
2025-03-09,Cortado,0.0,7,0.2930921710999878,lgbm_direct
2025-03-09,Espresso,1.0,7,0.3436510501291919,lgbm_direct
2025-03-09,Hot Chocolate,0.0,7,0.4688535370253968,lgbm_direct
2025-03-09,Latte,0.0,7,0.684688260476899,lgbm_direct
2025-03-10,Americano,4.0,1,6.197463940245656,lgbm_direct
2025-03-10,Americano with Milk,3.0,1,3.0320221280355777,lgbm_direct
2025-03-10,Cappuccino,1.0,1,1.307525669436606,lgbm_direct
2025-03-10,Cocoa,1.0,1,1.46098921832078,lgbm_direct
2025-03-10,Cortado,0.0,1,0.13842254159050418,lgbm_direct
2025-03-10,Espresso,0.0,1,0.30498205728873823,lgbm_direct
2025-03-10,Hot Chocolate,3.0,1,1.4288787926624436,lgbm_direct
2025-03-10,Latte,5.0,1,2.1683946744238787,lgbm_direct
2025-03-11,Americano,4.0,2,5.4249236687507,lgbm_direct
2025-03-11,Americano with Milk,1.0,2,2.0587039574372414,lgbm_direct
2025-03-11,Cappuccino,2.0,2,1.6830399689937627,lgbm_direct
2025-03-11,Cocoa,2.0,2,1.052765734115401,lgbm_direct
2025-03-11,Cortado,0.0,2,0.34308986796342605,lgbm_direct
2025-03-11,Espresso,0.0,2,0.5822049840414314,lgbm_direct
2025-03-11,Hot Chocolate,2.0,2,1.429368800188289,lgbm_direct
2025-03-11,Latte,2.0,2,1.6854881911762933,lgbm_direct
2025-03-12,Americano,6.0,3,2.3871117718165578,lgbm_direct
2025-03-12,Americano with Milk,1.0,3,2.566804220162673,lgbm_direct
2025-03-12,Cappuccino,3.0,3,1.4163337592409604,lgbm_direct
2025-03-12,Cocoa,2.0,3,0.9253210200198781,lgbm_direct
2025-03-12,Cortado,0.0,3,0.27200393225331226,lgbm_direct
2025-03-12,Espresso,0.0,3,0.3656441225086855,lgbm_direct
2025-03-12,Hot Chocolate,1.0,3,0.9791585157670724,lgbm_direct
2025-03-12,Latte,4.0,3,1.698293381928533,lgbm_direct
2025-03-13,Americano,3.0,4,3.862511830217181,lgbm_direct
2025-03-13,Americano with Milk,4.0,4,2.7474610219033,lgbm_direct
