date,revenue,transactions,avg_price,first_sale_hour,last_sale_hour,avg_sale_hour,year,month,day,dayofweek,quarter,week_of_year,is_weekend,is_month_start,is_month_end,month_sin,month_cos,dayofweek_sin,dayofweek_cos,transactions_lag_1,transactions_lag_7,transactions_lag_14,transactions_roll_3,transactions_roll_7,transactions_roll_30,transactions_vol_7,total_daily_transactions,total_daily_revenue,market_share_transactions,product_Americano,product_Americano with Milk,product_Cappuccino,product_Cocoa,product_Cortado,product_Espresso,product_Hot Chocolate,product_Latte
2024-03-01,28.9,1.0,28.9,15.0,15.0,15.0,2024,3,1,4,1,9,0,1,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,396.3,0.09090909090909091,True,False,False,False,False,False,False,False
2024-03-02,86.69999999999999,3.0,28.899999999999995,12.0,19.0,15.666666666666666,2024,3,2,5,1,9,1,0,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.0,0.0,0.0,2.0,2.0,2.0,1.4142135623730951,7.0,228.09999999999997,0.42857142857142855,True,False,False,False,False,False,False,False
2024-03-03,28.9,1.0,28.9,14.0,14.0,14.0,2024,3,3,6,1,9,1,0,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,3.0,0.0,0.0,1.6666666666666667,1.6666666666666667,1.6666666666666667,1.1547005383792517,10.0,349.1,0.1,True,False,False,False,False,False,False,False
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,4,0,1,10,0,0,0,1.0,6.123233995736766e-17,0.0,1.0,1.0,0.0,0.0,1.3333333333333333,1.25,1.25,1.2583057392117916,4.0,135.2,0.0,True,False,False,False,False,False,False,False
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,5,1,1,10,0,0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.224744871391589,9.0,338.5,0.0,True,False,False,False,False,False,False,False
2024-03-06,28.9,1.0,28.9,15.0,15.0,15.0,2024,3,6,2,1,10,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0,0.0,0.0,0.3333333333333333,1.0,1.0,1.0954451150103321,5.0,170.20000000000002,0.2,True,False,False,False,False,False,False,False
2024-03-07,28.9,1.0,28.9,17.0,17.0,17.0,2024,3,7,3,1,10,0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,1.0,0.0,0.0,0.6666666666666666,1.0,1.0,1.0,6.0,220.1,0.16666666666666666,True,False,False,False,False,False,False,False
2024-03-08,86.69999999999999,3.0,28.899999999999995,15.0,16.0,15.666666666666666,2024,3,8,4,1,10,0,0,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,1.0,0.0,1.6666666666666667,1.2857142857142858,1.25,1.2535663410560174,8.0,265.5,0.375,True,False,False,False,False,False,False,False
2024-03-09,86.69999999999999,3.0,28.899999999999995,14.0,14.0,14.0,2024,3,9,5,1,10,1,0,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,3.0,3.0,0.0,2.3333333333333335,1.2857142857142858,1.4444444444444444,1.2535663410560174,14.0,479.4,0.21428571428571427,True,False,False,False,False,False,False,False
2024-03-10,30.0,1.0,30.0,9.0,9.0,9.0,2024,3,10,6,1,10,1,0,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,3.0,1.0,0.0,2.3333333333333335,1.2857142857142858,1.4,1.2535663410560174,7.0,231.6,0.14285714285714285,True,False,False,False,False,False,False,False
2024-03-11,58.9,2.0,29.45,13.0,18.0,15.5,2024,3,11,0,1,11,0,0,0,1.0,6.123233995736766e-17,0.0,1.0,1.0,0.0,0.0,2.0,1.5714285714285714,1.4545454545454546,1.1338934190276817,8.0,275.20000000000005,0.25,True,False,False,False,False,False,False,False
2024-03-12,86.69999999999999,3.0,28.899999999999995,12.0,18.0,14.666666666666666,2024,3,12,1,1,11,0,0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,2.0,0.0,0.0,2.0,2.0,1.5833333333333333,1.0000000000000002,7.0,228.1,0.42857142857142855,True,False,False,False,False,False,False,False
2024-03-13,86.69999999999999,3.0,28.899999999999995,13.0,14.0,13.666666666666666,2024,3,13,2,1,11,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,3.0,1.0,0.0,2.6666666666666665,2.2857142857142856,1.6923076923076923,0.9511897312113422,9.0,256.2,0.3333333333333333,True,False,False,False,False,False,False,False
2024-03-14,28.9,1.0,28.9,15.0,15.0,15.0,2024,3,14,3,1,11,0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,3.0,1.0,0.0,2.3333333333333335,2.2857142857142856,1.6428571428571428,0.9511897312113422,12.0,397.1,0.08333333333333333,True,False,False,False,False,False,False,False
2024-03-15,28.9,1.0,28.9,20.0,20.0,20.0,2024,3,15,4,1,11,0,0,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,3.0,1.0,1.6666666666666667,2.0,1.6,1.0000000000000002,3.0,107.6,0.3333333333333333,True,False,False,False,False,False,False,False
2024-03-16,28.9,1.0,28.9,14.0,14.0,14.0,2024,3,16,5,1,11,1,0,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,1.0,3.0,3.0,1.0,1.7142857142857142,1.5625,0.951189731211342,6.0,183.2,0.16666666666666666,True,False,False,False,False,False,False,False
2024-03-17,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,17,6,1,11,1,0,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,1.0,1.0,1.0,0.6666666666666666,1.5714285714285714,1.4705882352941178,1.1338934190276817,2.0,68.9,0.0,True,False,False,False,False,False,False,False
2024-03-18,86.69999999999999,3.0,28.899999999999995,17.0,17.0,17.0,2024,3,18,0,1,12,0,0,0,1.0,6.123233995736766e-17,0.0,1.0,0.0,2.0,0.0,1.3333333333333333,1.7142857142857142,1.5555555555555556,1.2535663410560176,4.0,115.6,0.75,True,False,False,False,False,False,False,False
2024-03-19,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,19,1,1,12,0,0,0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,3.0,3.0,0.0,1.0,1.2857142857142858,1.4736842105263157,1.2535663410560176,6.0,219.9,0.0,True,False,False,False,False,False,False,False
2024-03-20,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,20,2,1,12,0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0,3.0,1.0,1.0,0.8571428571428571,1.4,1.0690449676496978,6.0,213.9,0.0,True,False,False,False,False,False,False,False
2024-03-21,30.0,1.0,30.0,19.0,19.0,19.0,2024,3,21,3,1,12,0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.0,1.0,1.0,0.3333333333333333,0.8571428571428571,1.380952380952381,1.0690449676496978,6.0,205.2,0.16666666666666666,True,False,False,False,False,False,False,False
2024-03-22,57.8,2.0,28.9,19.0,19.0,19.0,2024,3,22,4,1,12,0,0,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,1.0,1.0,3.0,1.0,1.0,1.4090909090909092,1.1547005383792517,6.0,189.39999999999998,0.3333333333333333,True,False,False,False,False,False,False,False
2024-03-23,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,23,5,1,12,1,0,0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,2.0,1.0,3.0,1.0,0.8571428571428571,1.3478260869565217,1.214985792587912,8.0,285.1,0.0,True,False,False,False,False,False,False,False
