date,product,transactions,h,yhat,model
2025-03-11,Espresso,0.0,2,,lstm_direct
2025-03-11,Hot Chocolate,2.0,2,,lstm_direct
2025-03-11,Latte,2.0,2,,lstm_direct
2025-03-12,Americano,6.0,3,,lstm_direct
2025-03-12,Americano with Milk,1.0,3,,lstm_direct
2025-03-12,Cappuccino,3.0,3,,lstm_direct
2025-03-12,Cocoa,2.0,3,,lstm_direct
2025-03-12,Cortado,0.0,3,,lstm_direct
2025-03-12,Espresso,0.0,3,,lstm_direct
2025-03-12,Hot Chocolate,1.0,3,,lstm_direct
2025-03-12,Latte,4.0,3,,lstm_direct
2025-03-13,Americano,3.0,4,,lstm_direct
2025-03-13,Americano with Milk,4.0,4,,lstm_direct
2025-03-13,Cappuccino,2.0,4,,lstm_direct
2025-03-13,Cocoa,0.0,4,,lstm_direct
2025-03-13,Cortado,0.0,4,,lstm_direct
2025-03-13,Espresso,1.0,4,,lstm_direct
2025-03-13,Hot Chocolate,0.0,4,,lstm_direct
2025-03-13,Latte,2.0,4,,lstm_direct
2025-03-14,Americano,10.0,5,,lstm_direct
2025-03-14,Americano with Milk,1.0,5,,lstm_direct
2025-03-14,Cappuccino,1.0,5,,lstm_direct
2025-03-14,Cocoa,3.0,5,,lstm_direct
2025-03-14,Cortado,0.0,5,,lstm_direct
2025-03-14,Espresso,1.0,5,,lstm_direct
2025-03-14,Hot Chocolate,0.0,5,,lstm_direct
2025-03-14,Latte,7.0,5,,lstm_direct
2025-03-15,Americano,1.0,6,,lstm_direct
2025-03-15,Americano with Milk,3.0,6,,lstm_direct
2025-03-15,Cappuccino,3.0,6,,lstm_direct
2025-03-15,Cocoa,0.0,6,,lstm_direct
2025-03-15,Cortado,0.0,6,,lstm_direct
2025-03-15,Espresso,0.0,6,,lstm_direct
2025-03-15,Hot Chocolate,0.0,6,,lstm_direct
2025-03-15,Latte,0.0,6,,lstm_direct
2025-03-16,Americano,1.0,7,,lstm_direct
2025-03-16,Americano with Milk,1.0,7,,lstm_direct
2025-03-16,Cappuccino,1.0,7,,lstm_direct
2025-03-16,Cocoa,0.0,7,,lstm_direct
2025-03-16,Cortado,0.0,7,,lstm_direct
2025-03-16,Espresso,0.0,7,,lstm_direct
2025-03-16,Hot Chocolate,1.0,7,,lstm_direct
2025-03-16,Latte,1.0,7,,lstm_direct
2025-03-17,Americano,6.0,1,,lstm_direct
2025-03-17,Americano with Milk,1.0,1,,lstm_direct
2025-03-17,Cappuccino,1.0,1,,lstm_direct
2025-03-17,Cocoa,2.0,1,,lstm_direct
2025-03-17,Cortado,0.0,1,,lstm_direct
2025-03-17,Espresso,0.0,1,,lstm_direct
2025-03-17,Hot Chocolate,0.0,1,,lstm_direct
2025-03-17,Latte,3.0,1,,lstm_direct
2025-03-18,Americano,3.0,2,,lstm_direct
2025-03-18,Americano with Milk,3.0,2,,lstm_direct
2025-03-18,Cappuccino,0.0,2,,lstm_direct
2025-03-18,Cocoa,4.0,2,,lstm_direct
2025-03-18,Cortado,0.0,2,,lstm_direct
2025-03-18,Espresso,1.0,2,,lstm_direct
2025-03-18,Hot Chocolate,2.0,2,,lstm_direct
2025-03-18,Latte,4.0,2,,lstm_direct
2025-03-19,Americano,8.0,3,,lstm_direct
2025-03-19,Americano with Milk,2.0,3,,lstm_direct
2025-03-19,Cappuccino,3.0,3,,lstm_direct
2025-03-19,Cocoa,1.0,3,,lstm_direct
2025-03-19,Cortado,1.0,3,,lstm_direct
2025-03-19,Espresso,2.0,3,,lstm_direct
2025-03-19,Hot Chocolate,1.0,3,,lstm_direct
2025-03-19,Latte,3.0,3,,lstm_direct
