date,product,h,y,yhat,yhat_p10,yhat_p90,model
2025-03-06,Americano,4,3.0,2.765312916846095,1.155722724875723,4.247677271627136,lgbm_direct
2025-03-07,Americano,5,4.0,4.107400224775325,1.754767931497377,5.293685297111222,lgbm_direct
2025-03-08,Americano,6,4.0,4.377561065388994,1.123976438092323,5.388299606780277,lgbm_direct
2025-03-09,Americano,7,2.0,2.0585215377342805,0.91029827680507,4.749646542596077,lgbm_direct
2025-03-03,Americano with Milk,1,2.0,2.348192605745791,0.5448924803387929,4.359216960213476,lgbm_direct
2025-03-04,Americano with Milk,2,2.0,1.9605827954288841,0.1494345666252426,3.904055812572039,lgbm_direct
2025-03-05,Americano with Milk,3,3.0,2.3355674877684565,0.5313432261884072,3.862287244884338,lgbm_direct
2025-03-06,Americano with Milk,4,3.0,2.142444331327735,0.3650259175552373,3.297516351955518,lgbm_direct
2025-03-07,Americano with Milk,5,3.0,2.8068893029070296,1.5028697626087613,4.2602662465577845,lgbm_direct
2025-03-08,Americano with Milk,6,3.0,2.3762515126209847,0.03813905723176971,3.407060033020337,lgbm_direct
2025-03-09,Americano with Milk,7,2.0,2.126907018521496,0.3763387573897661,3.2618072589906917,lgbm_direct
2025-03-03,Cappuccino,1,4.0,1.500377859829042,0.4235042616354289,2.844889733501449,lgbm_direct
2025-03-04,Cappuccino,2,1.0,1.373193381416155,0.49340362722760545,2.9100886709986336,lgbm_direct
2025-03-05,Cappuccino,3,3.0,1.6008757585534317,0.3663490548730566,2.9612474248671314,lgbm_direct
2025-03-06,Cappuccino,4,2.0,2.2052286843617104,0.6655845326266822,3.1561491492588476,lgbm_direct
2025-03-07,Cappuccino,5,2.0,1.562542230585624,0.30402066725369764,3.266031989927732,lgbm_direct
2025-03-08,Cappuccino,6,1.0,1.385497132404037,-0.029782176344621797,2.513658709866439,lgbm_direct
2025-03-09,Cappuccino,7,2.0,1.0625813063695029,0.3360199661150073,2.450121287187356,lgbm_direct
2025-03-03,Cocoa,1,2.0,2.4157683023278915,0.46386841194577827,3.055794627902751,lgbm_direct
2025-03-04,Cocoa,2,2.0,1.0001383571348006,0.0711139525398098,2.8926224965553313,lgbm_direct
2025-03-05,Cocoa,3,2.0,1.3211173968957646,0.3403865171421975,3.1368502741595536,lgbm_direct
2025-03-06,Cocoa,4,1.0,1.5762967803160934,0.3065922472088033,3.456110912883471,lgbm_direct
2025-03-07,Cocoa,5,2.0,1.5347374189078584,0.3739417797597992,3.1912336234825123,lgbm_direct
2025-03-08,Cocoa,6,0.0,1.356174831984869,0.012807556507876329,2.895145720370683,lgbm_direct
