date,product,h,y,yhat,model
2025-03-07,Espresso,5,0.0,1.0,snaive7
2025-03-08,Espresso,6,0.0,0.0,snaive7
2025-03-09,Espresso,7,1.0,0.0,snaive7
2025-03-03,Hot Chocolate,1,5.0,1.0,snaive7
2025-03-04,Hot Chocolate,2,0.0,0.0,snaive7
2025-03-05,Hot Chocolate,3,1.0,3.0,snaive7
2025-03-06,Hot Chocolate,4,1.0,0.0,snaive7
2025-03-07,Hot Chocolate,5,3.0,0.0,snaive7
2025-03-08,Hot Chocolate,6,0.0,0.0,snaive7
2025-03-09,Hot Chocolate,7,0.0,0.0,snaive7
2025-03-03,Latte,1,5.0,5.0,snaive7
2025-03-04,Latte,2,2.0,0.0,snaive7
2025-03-05,Latte,3,3.0,4.0,snaive7
2025-03-06,Latte,4,1.0,4.0,snaive7
2025-03-07,Latte,5,3.0,3.0,snaive7
2025-03-08,Latte,6,0.0,1.0,snaive7
2025-03-09,Latte,7,0.0,1.0,snaive7
2025-03-03,Americano,1,4.0,4.428571428571429,ma7
2025-03-04,Americano,2,9.0,4.428571428571429,ma7
2025-03-05,Americano,3,6.0,4.428571428571429,ma7
2025-03-06,Americano,4,3.0,4.428571428571429,ma7
2025-03-07,Americano,5,4.0,4.428571428571429,ma7
2025-03-08,Americano,6,4.0,4.428571428571429,ma7
2025-03-09,Americano,7,2.0,4.428571428571429,ma7
2025-03-03,Americano with Milk,1,2.0,2.857142857142857,ma7
2025-03-04,Americano with Milk,2,2.0,2.857142857142857,ma7
2025-03-05,Americano with Milk,3,3.0,2.857142857142857,ma7
2025-03-06,Americano with Milk,4,3.0,2.857142857142857,ma7
2025-03-07,Americano with Milk,5,3.0,2.857142857142857,ma7
2025-03-08,Americano with Milk,6,3.0,2.857142857142857,ma7
2025-03-09,Americano with Milk,7,2.0,2.857142857142857,ma7
2025-03-03,Cappuccino,1,4.0,1.7142857142857142,ma7
2025-03-04,Cappuccino,2,1.0,1.7142857142857142,ma7
