h,MAE,RMSE,MAPE,sMAPE
1,1.5074404761904763,2.175300041858328,65.10943507837918,74.59209311847471
2,1.1383928571428572,1.7294099697692895,61.35521885521885,76.41094517963465
3,1.2098214285714286,1.7199188202642937,60.912698412698404,82.36313524328179
4,1.2098214285714286,1.7473862891580143,62.57783882783884,80.54670639113345
5,1.5342261904761905,2.322206829251677,61.3166715961747,77.59540019709661
6,0.9449404761904763,1.3854350479574433,74.75198412698413,91.04676401760413
7,0.8005952380952381,1.1278780268882869,74.60317460317462,92.67866907511517
