h,MAE,RMSE,MAPE,sMAPE,COV_p10_p90_%
1,1.3442382207140326,1.7970062121549946,63.54044499481194,98.24300756151777,18.75
2,1.0845291307778098,1.7500440382150266,51.09603281876054,91.72316912589453,28.125
3,0.9549970917869359,1.2547327774884143,55.877916614214584,69.89185793797175,28.125
4,0.9087147954851389,1.1800858136358232,50.452170864893844,76.26640384379316,21.875
5,1.356819774955511,1.9576906904549392,48.9801958110762,94.99639200410832,12.5
6,1.0004273570375517,1.3357026504423204,60.77961480865876,127.4784808864915,12.5
7,0.78470491070766,1.0114501580167556,67.80683265792,117.76459953233709,28.125
