date,product,transactions,h,yhat,model
2025-03-06,Cocoa,1.0,4,4.0,snaive7
2025-03-06,Cortado,0.0,4,0.0,snaive7
2025-03-06,Espresso,1.0,4,1.0,snaive7
2025-03-06,Hot Chocolate,1.0,4,0.0,snaive7
2025-03-06,Latte,1.0,4,4.0,snaive7
2025-03-07,Americano,4.0,5,7.0,snaive7
2025-03-07,Americano with Milk,3.0,5,4.0,snaive7
2025-03-07,Cappuccino,2.0,5,1.0,snaive7
2025-03-07,Cocoa,2.0,5,1.0,snaive7
2025-03-07,Cortado,0.0,5,0.0,snaive7
2025-03-07,Espresso,0.0,5,1.0,snaive7
2025-03-07,Hot Chocolate,3.0,5,0.0,snaive7
2025-03-07,Latte,3.0,5,3.0,snaive7
2025-03-08,Americano,4.0,6,4.0,snaive7
2025-03-08,Americano with Milk,3.0,6,1.0,snaive7
2025-03-08,Cappuccino,1.0,6,2.0,snaive7
2025-03-08,Cocoa,0.0,6,0.0,snaive7
2025-03-08,Cortado,0.0,6,0.0,snaive7
2025-03-08,Espresso,0.0,6,0.0,snaive7
2025-03-08,Hot Chocolate,0.0,6,0.0,snaive7
2025-03-08,Latte,0.0,6,1.0,snaive7
2025-03-09,Americano,2.0,7,2.0,snaive7
2025-03-09,Americano with Milk,2.0,7,2.0,snaive7
2025-03-09,Cappuccino,2.0,7,0.0,snaive7
2025-03-09,Cocoa,1.0,7,1.0,snaive7
2025-03-09,Cortado,0.0,7,0.0,snaive7
2025-03-09,Espresso,1.0,7,0.0,snaive7
2025-03-09,Hot Chocolate,0.0,7,0.0,snaive7
2025-03-09,Latte,0.0,7,1.0,snaive7
2025-03-03,Americano,4.0,1,4.428571428571429,ma7
2025-03-03,Americano with Milk,2.0,1,2.857142857142857,ma7
2025-03-03,Cappuccino,4.0,1,1.7142857142857142,ma7
2025-03-03,Cocoa,2.0,1,1.8571428571428572,ma7
2025-03-03,Cortado,0.0,1,0.14285714285714285,ma7
2025-03-03,Espresso,0.0,1,0.42857142857142855,ma7
2025-03-03,Hot Chocolate,5.0,1,0.5714285714285714,ma7
2025-03-03,Latte,5.0,1,2.5714285714285716,ma7
2025-03-04,Americano,9.0,2,4.428571428571429,ma7
2025-03-04,Americano with Milk,2.0,2,2.857142857142857,ma7
2025-03-04,Cappuccino,1.0,2,1.7142857142857142,ma7
2025-03-04,Cocoa,2.0,2,1.8571428571428572,ma7
2025-03-04,Cortado,0.0,2,0.14285714285714285,ma7
2025-03-04,Espresso,0.0,2,0.42857142857142855,ma7
2025-03-04,Hot Chocolate,0.0,2,0.5714285714285714,ma7
2025-03-04,Latte,2.0,2,2.5714285714285716,ma7
2025-03-05,Americano,6.0,3,4.428571428571429,ma7
2025-03-05,Americano with Milk,3.0,3,2.857142857142857,ma7
2025-03-05,Cappuccino,3.0,3,1.7142857142857142,ma7
2025-03-05,Cocoa,2.0,3,1.8571428571428572,ma7
2025-03-05,Cortado,0.0,3,0.14285714285714285,ma7
2025-03-05,Espresso,1.0,3,0.42857142857142855,ma7
2025-03-05,Hot Chocolate,1.0,3,0.5714285714285714,ma7
