h,MAE,RMSE,MAPE,sMAPE,COV_p10_p90_%
1,1.173404697328806,1.6226686409280409,61.943809773857794,93.23100206053759,18.75
2,1.149183448171243,1.5554766551408572,63.26489435903954,94.9291438393179,25.0
3,0.9898311207070947,1.1672606825591199,50.26878416893028,66.80861609533333,12.5
4,0.9858034206554294,1.2869668840412085,48.385019401709236,72.08025395837592,28.125
5,1.4393131900578737,1.9381881424825786,57.05588953465408,95.67454976042772,6.25
6,1.0986103205941617,1.378649548506405,74.37763496612509,132.62557300437845,3.125
7,0.7335342429578304,0.9964666496947211,60.04490421877967,114.03716224009206,31.25
