h,MAE,RMSE,MAPE,sMAPE,COV_p10_p90_%
1,1.2937888459114029,1.8140914747897277,49.49407238338104,97.65246302275175,71.875
2,1.1521233855327329,1.64230270668065,52.476589719804714,100.20437294224327,81.25
3,1.2285031768240384,1.5904195784999198,49.09236912010268,78.38363999824205,68.75
4,0.996798532726047,1.3991566602120582,44.329881804137955,78.73289844629208,81.25
5,1.517540223449168,2.1534033205737693,51.289115112241305,101.89940597886621,68.75
6,0.9730962901475402,1.2066050720306642,59.56807972476261,127.2109776058502,87.5
7,0.7181637374272374,0.9373830750760007,52.61384266562455,109.69715932299195,87.5
