h,MAE,RMSE,MAPE,sMAPE,COV_p10_p90_%
1,1.0040411477761029,1.4517649243367958,36.09500569199386,84.77094758913442,59.375
2,1.0318322380494611,1.4170819647990447,47.436448007425255,100.41262349639719,75.0
3,1.1763698133250822,1.528718881592184,53.26026706064155,88.49438432184114,62.5
4,0.9745425692690195,1.1892442035532451,63.55599071244901,81.0933575653023,62.5
5,1.284222859765279,1.7237007743584252,55.74365148861528,98.71534013930132,53.125
6,1.3311587804723939,1.7628036095764918,84.23079404982914,126.96839919983178,59.375
7,0.7189624104551753,0.9150322928241587,60.09878804850115,113.51182124917032,78.125
