date,product,h,y,yhat,yhat_p10,yhat_p90,model
2025-02-24,Americano,1,3.0,3.2611041639699123,1.5336109564121625,4.990864851013902,prophet
2025-02-25,Americano,2,5.0,2.6682437020788403,0.9541167595553502,4.539983106409932,prophet
2025-02-26,Americano,3,5.0,2.816846336384813,1.1706437962239267,4.558194474669206,prophet
2025-02-27,Americano,4,5.0,2.3639598864620956,0.4382230390152722,4.129015017011153,prophet
2025-02-28,Americano,5,7.0,2.3188506772806696,0.4819506260463258,4.0668409284994445,prophet
2025-03-01,Americano,6,4.0,2.1059813613967,0.393638962070346,3.9405633290590076,prophet
2025-03-02,Americano,7,2.0,1.7612687735317858,-0.07951277870276369,3.497831732979429,prophet
2025-02-24,Americano with Milk,1,7.0,2.638333839395436,0.20744865150947428,5.077560795145917,prophet
2025-02-25,Americano with Milk,2,2.0,3.1361687627305153,0.7103932766422073,5.508929075131645,prophet
2025-02-26,Americano with Milk,3,3.0,2.704893154918459,0.36049513502823205,5.138292351594574,prophet
2025-02-27,Americano with Milk,4,1.0,2.1751094138124296,-0.08918322471385974,4.4593346715815185,prophet
2025-02-28,Americano with Milk,5,4.0,2.1387258977080106,-0.15543714156570357,4.435928271407303,prophet
2025-03-01,Americano with Milk,6,1.0,2.428072179841122,0.2502142584883948,4.830216685525903,prophet
2025-03-02,Americano with Milk,7,2.0,2.226080915914784,-0.14363685406865356,4.652513818611023,prophet
2025-02-24,Cappuccino,1,1.0,1.2857817248371488,-0.3364626327690804,3.142960367257952,prophet
2025-02-25,Cappuccino,2,3.0,1.0647479021363857,-0.6039759350945852,2.665215263397205,prophet
2025-02-26,Cappuccino,3,1.0,1.075396391356771,-0.5160494351636221,2.9038084210639137,prophet
2025-02-27,Cappuccino,4,4.0,1.271076699768722,-0.32959885474892214,2.9603254232943637,prophet
2025-02-28,Cappuccino,5,1.0,1.1441541767100052,-0.7174180624386775,2.838465045024138,prophet
2025-03-01,Cappuccino,6,2.0,1.1791419572808923,-0.47859680129243065,3.012223438411096,prophet
2025-03-02,Cappuccino,7,0.0,1.2751718863742467,-0.3540717548598476,2.9191531601336282,prophet
2025-02-24,Cocoa,1,5.0,1.2130133231787115,-0.011898514263893942,2.424039936586741,prophet
2025-02-25,Cocoa,2,1.0,1.7500042574044103,0.6673692400849717,2.846699889926841,prophet
2025-02-26,Cocoa,3,1.0,1.1268698339925107,-0.023962110808115715,2.24080403752479,prophet
2025-02-27,Cocoa,4,4.0,0.9330047168403605,-0.21328027207777406,2.0837752999880808,prophet
2025-02-28,Cocoa,5,1.0,1.4661682151386382,0.29414588775262984,2.6652204887425452,prophet
2025-03-01,Cocoa,6,0.0,1.0307109032498079,-0.14620876259102103,2.1497044068066162,prophet
2025-03-02,Cocoa,7,1.0,1.0582512889092195,-0.036695459381222865,2.10193252169617,prophet
2025-02-24,Cortado,1,0.0,0.45377595834065926,-0.8910531076363412,1.753777994548044,prophet
2025-02-25,Cortado,2,0.0,0.5741591382848269,-0.7503418021305196,1.9233314120241085,prophet
2025-02-26,Cortado,3,1.0,0.3623013253743448,-0.991107313437514,1.6790018978640062,prophet
2025-02-27,Cortado,4,0.0,0.6921770423831834,-0.641840017539552,2.010205359355265,prophet
2025-02-28,Cortado,5,0.0,0.8026127523208574,-0.5149740427411018,2.1454684761337743,prophet
2025-03-01,Cortado,6,0.0,1.075454808153585,-0.29325828990283187,2.389950937142969,prophet
2025-03-02,Cortado,7,0.0,0.8782796073856342,-0.37848547626968587,2.368938262037293,prophet
2025-02-24,Espresso,1,0.0,0.269744384038905,-0.5547180121574836,1.0579174344640938,prophet
2025-02-25,Espresso,2,1.0,0.3057583463152378,-0.5140896477981958,1.1218904767509799,prophet
2025-02-26,Espresso,3,0.0,0.4932343812939438,-0.29287295453675627,1.280114271673957,prophet
2025-02-27,Espresso,4,1.0,0.42718219060481133,-0.4110903591681018,1.2714188699718263,prophet
2025-02-28,Espresso,5,1.0,0.3699484477639919,-0.48815256146366537,1.1870887638870138,prophet
2025-03-01,Espresso,6,0.0,0.28232196821359046,-0.5417836185646387,1.165186450596005,prophet
2025-03-02,Espresso,7,0.0,0.31653596527696437,-0.4822659347583559,1.0822620022504847,prophet
2025-02-24,Hot Chocolate,1,1.0,0.8661898750111687,-0.3910263167817549,2.177654462072649,prophet
2025-02-25,Hot Chocolate,2,0.0,1.1265656478915693,-0.21308843989238876,2.464322494525214,prophet
2025-02-26,Hot Chocolate,3,3.0,0.7775329270182042,-0.5310084086433664,1.9982925627841117,prophet
2025-02-27,Hot Chocolate,4,0.0,0.9592731666608101,-0.19681461215077503,2.2861311421940287,prophet
2025-02-28,Hot Chocolate,5,0.0,0.9814722166002938,-0.22214053128773834,2.306673317155918,prophet
2025-03-01,Hot Chocolate,6,0.0,0.8139419238420349,-0.4517236145589131,2.1388231208237016,prophet
2025-03-02,Hot Chocolate,7,0.0,0.7583907163876467,-0.5203792726431806,2.045691208685528,prophet
2025-02-24,Latte,1,5.0,2.284155207235151,0.43944734763633586,4.213810544945226,prophet
2025-02-25,Latte,2,0.0,2.12152520746568,0.12408079801754562,4.096285347364064,prophet
2025-02-26,Latte,3,4.0,1.5632323741716663,-0.3565824216150829,3.4850384924709736,prophet
2025-02-27,Latte,4,4.0,1.4080053779315704,-0.6509263043475938,3.4391572996120083,prophet
2025-02-28,Latte,5,3.0,1.085713243198742,-0.9084492966761485,2.987509671225823,prophet
2025-03-01,Latte,6,1.0,1.188879396705895,-0.931221270698604,3.160429130347145,prophet
