date,revenue,transactions,avg_price,first_sale_hour,last_sale_hour,avg_sale_hour,year,month,day,dayofweek,quarter,week_of_year,is_weekend,is_month_start,is_month_end,month_sin,month_cos,dayofweek_sin,dayofweek_cos,transactions_lag_1,transactions_lag_7,transactions_lag_14,transactions_roll_3,transactions_roll_7,transactions_roll_30,transactions_vol_7,total_daily_transactions,total_daily_revenue,market_share_transactions,product_Americano,product_Americano with Milk,product_Cappuccino,product_Cocoa,product_Cortado,product_Espresso,product_Hot Chocolate,product_Latte,product,wx_temperature_2m,wx_precipitation,wx_cloudcover,is_holiday,dow,weekofyear,is_holiday_prev,is_holiday_next,dow_sin,dow_cos,totals_day_t1,share_day_t1,totals_day_roll_7,competitor_sum_t1
2024-07-05,37.72,1.0,37.72,15.0,15.0,15.0,2024,7,5,4,3,27,0,0,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,0.0,0.0,0.1,0.0,5.0,154.3,0.2,False,False,False,True,False,False,False,False,Cocoa,19.270000000000003,0.3,6.6,False,4,27,0,0,-0.433883739117558,-0.9009688679024191,2.0,0.0,5.571428571428571,2.0
2025-03-19,35.76,1.0,35.76,12.0,12.0,12.0,2025,3,19,2,1,12,0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.2225209339563143,2.0,1.0,1.0,1.0,0.5714285714285714,1.0666666666666667,0.786795792469443,21.0,623.56,0.0476190476190476,False,False,False,False,False,False,True,False,Hot Chocolate,4.8238095238095235,0.6000000000000001,85.52380952380952,False,2,12,0,0,0.9749279121818236,-0.22252093395631434,17.0,0.11764705882352941,13.428571428571429,15.0
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,2024,3,7,3,1,10,0,0,0,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.0,,,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.408248290463863,6.0,220.1,0.0,False,False,False,False,False,True,False,False,Espresso,-0.03333333333333333,0.0,100.0,False,3,10,0,0,0.43388373911755823,-0.900968867902419,5.0,0.0,7.666666666666667,5.0
2024-06-29,0.0,0.0,0.0,0.0,0.0,0.0,2024,6,29,5,2,26,1,0,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,1.0,1.0,0.0,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.5345224838248491,10.0,357.6,0.0,False,False,False,False,True,False,False,False,Cortado,27.025,0.0,16.375,False,5,26,1,0,-0.9749279121818236,-0.2225209339563146,4.0,0.25,4.571428571428571,3.0
2024-08-01,98.46,3.0,32.82,0.0,0.0,0.0,2024,8,1,3,3,31,0,1,0,-0.4999999999999998,-0.8660254037844388,0.4338837391175582,-0.900968867902419,5.0,1.0,2.0,2.6666666666666665,2.4285714285714284,1.7666666666666666,1.6183471874253728,15.0,433.5,0.2,False,False,False,False,False,False,False,True,Latte,25.691666666666666,0.0,9.25,False,3,31,0,0,0.43388373911755823,-0.900968867902419,22.0,0.22727272727272727,14.142857142857142,17.0
2024-07-31,92.08,4.0,23.02,20.0,23.0,22.0,2024,7,31,2,3,31,0,0,1,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.2225209339563143,3.0,0.0,0.0,1.0,1.0,0.3333333333333333,1.732050807568877,22.0,624.04,0.1818181818181818,False,False,False,False,True,False,False,False,Cortado,19.599999999999998,1.2000000000000002,17.363636363636363,False,2,31,0,0,0.9749279121818236,-0.22252093395631434,22.0,0.13636363636363635,12.714285714285714,19.0
2024-12-22,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,22,6,4,51,1,0,0,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,4.0,1.0,1.0,1.6666666666666667,1.5714285714285714,1.6,1.5118578920369066,8.0,266.48,0.0,False,False,False,False,False,False,False,True,Latte,-1.9000000000000001,0.0,94.42857142857143,False,6,51,0,0,-0.7818314824680299,0.6234898018587334,14.0,0.2857142857142857,7.857142857142857,10.0
2024-12-12,0.0,0.0,0.0,0.0,0.0,0.0,2024,12,12,3,4,50,0,0,0,-0.5000000000000004,0.8660254037844384,0.4338837391175582,-0.900968867902419,1.0,0.0,0.0,0.6666666666666666,0.5714285714285714,0.8333333333333334,0.5345224838248469,7.0,196.42,0.0,False,False,False,False,False,False,True,False,Hot Chocolate,-2.2142857142857144,0.0,96.42857142857143,False,3,50,0,0,0.43388373911755823,-0.900968867902419,7.0,0.14285714285714285,6.285714285714286,6.0
2024-03-07,38.7,1.0,38.7,12.0,12.0,12.0,2024,3,7,3,1,10,0,0,0,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0.0,,,1.3333333333333333,1.5,1.5,1.760681686165901,6.0,220.1,0.1666666666666666,False,False,False,False,False,False,True,False,Hot Chocolate,-0.03333333333333333,0.0,100.0,False,3,10,0,0,0.43388373911755823,-0.900968867902419,5.0,0.0,7.666666666666667,5.0
2025-01-13,35.76,1.0,35.76,16.0,16.0,16.0,2025,1,13,0,1,3,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.6666666666666666,0.5714285714285714,1.1333333333333333,0.5345224838248465,8.0,251.78,0.125,False,False,True,False,False,False,False,False,Cappuccino,-1.3625,0.0,100.0,False,0,3,0,0,0.0,1.0,5.0,0.0,6.142857142857143,5.0
2024-07-01,0.0,0.0,0.0,0.0,0.0,0.0,2024,7,1,0,3,27,0,1,0,1.2246467991473532e-16,-1.0,0.0,1.0,0.0,0.0,2.0,0.3333333333333333,0.2857142857142857,0.6666666666666666,0.4879500364742672,4.0,131.28,0.0,False,False,False,False,True,False,False,False,Cortado,25.8,0.0,92.0,False,0,27,0,0,0.0,1.0,4.0,0.0,5.571428571428571,4.0
