h,MAE,RMSE,MAPE,sMAPE,COV_p10_p90_%
1,1.2398703100020687,1.8511126777795175,48.13287399059234,97.27044850468519,68.75
2,0.9056032637025812,1.2752352277485985,44.474909459487165,95.15629475765344,87.5
3,0.9333503163663144,1.2349513127409497,43.51123672723105,72.31415084632755,84.375
4,1.0523053759084042,1.4199251567967441,54.126212558407595,86.94383308689373,81.25
5,1.2365055685156454,1.8128798523686174,47.64579465323242,95.92743024762811,75.0
6,0.9001941785117225,1.2256252547795703,66.32538674853402,126.53666273897399,90.625
7,0.8781719165126569,1.1724739529252355,76.24896766280567,116.86781667538541,84.375
